Date,Customer Acquisition Type,Country,Product,Units,Price,Revenue,Delivery Performance,Return,Customer Satisfaction
1/1/2020,Returning,United Kingdoms,Product 1,2,300,600,On-time,No,Good
1/1/2020,Returning,France,Product 4,43,400,17200,On-time,No,Good
1/1/2020,Ad,Poland,Product 5,23,200,4600,On-time,No,Good
1/1/2020,Organic,Germany,Product 2,48,500,24000,On-time,Yes,Good
1/1/2020,Organic,United Kingdoms,Product 4,44,400,17600,Delayed,No,Very good
1/1/2020,Ad,Germany,Product 1,49,300,14700,On-time,No,Ok
1/1/2020,Organic,Germany,Product 3,22,100,2200,On-time,No,Good
1/1/2020,Ad,Norway,Product 4,1,400,400,On-time,Yes,Very good
1/1/2020,Ad,Germany,Product 2,10,500,5000,On-time,No,Good
1/1/2020,Organic,France,Product 1,3,300,900,On-time,No,Good
1/1/2020,Organic,France,Product 2,13,500,6500,On-time,No,Very good
1/1/2020,Organic,Germany,Product 1,13,300,3900,Delayed,No,Very low
1/2/2020,Ad,United Kingdoms,Product 1,5,300,1500,On-time,No,Ok
1/2/2020,Organic,France,Product 4,2,400,800,On-time,No,Ok
1/2/2020,Organic,Germany,Product 3,48,100,4800,On-time,No,Very low
1/2/2020,Ad,France,Product 1,39,300,11700,On-time,No,Low
1/2/2020,Returning,Norway,Product 1,5,300,1500,Delayed,No,Good
1/2/2020,Organic,Germany,Product 2,30,500,15000,On-time,No,Good
1/2/2020,Organic,Germany,Product 5,17,200,3400,On-time,No,Good
1/2/2020,Organic,United Kingdoms,Product 5,16,200,3200,On-time,No,Very good
1/2/2020,Organic,Poland,Product 4,2,400,800,On-time,No,Good
1/2/2020,Returning,Poland,Product 3,35,100,3500,On-time,Yes,Ok
1/2/2020,Organic,Poland,Product 2,26,500,13000,On-time,No,Very good
1/2/2020,Returning,Spain,Product 1,32,300,9600,On-time,No,Good
1/3/2020,Returning,Spain,Product 4,45,400,18000,On-time,No,Very good
1/3/2020,Ad,United Kingdoms,Product 4,42,400,16800,On-time,No,Good
1/3/2020,Organic,United Kingdoms,Product 4,8,400,3200,On-time,No,Very good
1/3/2020,Ad,Germany,Product 5,48,200,9600,On-time,No,Ok
1/3/2020,Organic,United Kingdoms,Product 2,30,500,15000,On-time,No,Good
1/3/2020,Organic,Poland,Product 4,33,400,13200,On-time,No,Very low
1/3/2020,Ad,Spain,Product 2,4,500,2000,On-time,No,Good
1/3/2020,Returning,Poland,Product 2,28,500,14000,On-time,No,Very good
1/3/2020,Returning,France,Product 2,26,500,13000,On-time,No,Very good
1/3/2020,Returning,France,Product 1,37,300,11100,On-time,No,Good
1/4/2020,Organic,Norway,Product 1,35,300,10500,On-time,No,Very good
1/4/2020,Returning,Spain,Product 4,35,400,14000,On-time,No,Very good
1/4/2020,Organic,Germany,Product 5,6,200,1200,On-time,No,Good
1/4/2020,Returning,United Kingdoms,Product 4,33,400,13200,On-time,No,Good
1/4/2020,Organic,Poland,Product 2,37,500,18500,On-time,No,Very good
1/4/2020,Organic,France,Product 3,35,100,3500,On-time,No,Good
1/4/2020,Organic,Norway,Product 1,21,300,6300,On-time,No,Good
1/4/2020,Ad,Germany,Product 4,16,400,6400,Delayed,No,Very good
1/4/2020,Organic,Germany,Product 1,46,300,13800,On-time,No,Ok
1/4/2020,Ad,France,Product 1,20,300,6000,On-time,No,Good
1/4/2020,Ad,Norway,Product 4,20,400,8000,On-time,No,Very good
1/4/2020,Organic,Germany,Product 2,30,500,15000,On-time,No,Good
1/5/2020,Returning,United Kingdoms,Product 4,17,400,6800,On-time,No,Good
1/5/2020,Ad,Spain,Product 2,17,500,8500,On-time,No,Very good
1/5/2020,Returning,Poland,Product 1,35,300,10500,On-time,No,Ok
1/5/2020,Ad,Spain,Product 4,43,400,17200,On-time,No,Good
1/5/2020,Organic,United Kingdoms,Product 4,39,400,15600,On-time,No,Very good
1/5/2020,Organic,Germany,Product 3,39,100,3900,On-time,No,Ok
1/5/2020,Organic,Poland,Product 2,43,500,21500,On-time,No,Good
1/5/2020,Organic,Germany,Product 2,48,500,24000,On-time,No,Ok
1/5/2020,Organic,United Kingdoms,Product 4,24,400,9600,On-time,No,Very good
1/6/2020,Ad,France,Product 2,7,500,3500,On-time,No,Low
1/6/2020,Organic,Poland,Product 2,13,500,6500,On-time,No,Good
1/6/2020,Ad,United Kingdoms,Product 5,26,200,5200,On-time,No,Very good
1/6/2020,Returning,Germany,Product 5,32,200,6400,On-time,Yes,Ok
1/6/2020,Organic,Germany,Product 3,3,100,300,Delayed,No,Very good
1/6/2020,Ad,Norway,Product 4,31,400,12400,Delayed,No,Very good
1/6/2020,Ad,France,Product 4,31,400,12400,On-time,No,Ok
1/6/2020,Organic,Poland,Product 4,45,400,18000,Delayed,Yes,Very good
1/6/2020,Ad,Germany,Product 2,41,500,20500,On-time,No,Very good
1/6/2020,Returning,Poland,Product 2,9,500,4500,Delayed,No,Very good
1/6/2020,Organic,France,Product 1,11,300,3300,On-time,No,Ok
1/6/2020,Ad,France,Product 4,7,400,2800,On-time,Yes,Good
1/6/2020,Returning,France,Product 2,17,500,8500,On-time,No,Very good
1/6/2020,Ad,Poland,Product 4,17,400,6800,On-time,No,Good
1/6/2020,Organic,United Kingdoms,Product 1,26,300,7800,On-time,No,Ok
1/7/2020,Returning,France,Product 1,44,300,13200,Delayed,No,Good
1/7/2020,Ad,Spain,Product 4,45,400,18000,On-time,No,Ok
1/7/2020,Ad,Germany,Product 1,47,300,14100,On-time,No,Very good
1/7/2020,Returning,United Kingdoms,Product 2,28,500,14000,Delayed,Yes,Very good
1/7/2020,Ad,United Kingdoms,Product 3,45,100,4500,On-time,No,Very good
1/7/2020,Organic,Spain,Product 4,15,400,6000,On-time,Yes,Good
1/7/2020,Organic,Germany,Product 1,34,300,10200,On-time,No,Good
1/7/2020,Organic,Germany,Product 2,42,500,21000,On-time,No,Very good
1/7/2020,Organic,Norway,Product 1,43,300,12900,Delayed,Yes,Good
1/7/2020,Ad,United Kingdoms,Product 4,22,400,8800,Delayed,No,Very good
1/7/2020,Returning,Spain,Product 3,1,100,100,On-time,No,Good
1/7/2020,Ad,Poland,Product 4,20,400,8000,On-time,No,Very good
1/7/2020,Ad,Poland,Product 1,9,300,2700,On-time,No,Ok
1/8/2020,Organic,France,Product 2,45,500,22500,On-time,No,Good
1/8/2020,Returning,Poland,Product 5,19,200,3800,On-time,Yes,Very good
1/8/2020,Returning,Germany,Product 4,39,400,15600,On-time,No,Good
1/8/2020,Ad,Poland,Product 1,3,300,900,On-time,No,Ok
1/8/2020,Returning,Poland,Product 1,9,300,2700,On-time,No,Ok
1/8/2020,Returning,Germany,Product 4,27,400,10800,Delayed,No,Very low
1/8/2020,Returning,France,Product 4,12,400,4800,On-time,No,Good
1/8/2020,Organic,France,Product 2,27,500,13500,On-time,No,Good
